epoch,mse_normalized,mse_physical,l2_norm_error,l2_norm_u,l2_norm_v,parameter_error,du_error,dv_error,f_error,k_error,physics_loss,data_loss,ic_loss,bc_loss,total_loss,u_mse,v_mse,u_relative_error,v_relative_error
0,0.9200032949447632,0.07447834,0.9627688527107239,0.9165999293327332,1.0067733526229858,0.3535533504377355,0.24999995769767977,0.2499999855138082,4.304777501346138e-08,1.8699492669336578e-08,0.0,0.16565479338169098,0.10606825351715088,0.0,10.666411399841309,0.062875204,0.011603143,0.9166111,1.0067743
1,0.7836551666259766,0.05808563,0.8885663151741028,0.7944722175598145,0.9735153317451477,0.3535533504377355,0.24999995769767977,0.2499999855138082,4.304777501346138e-08,1.8699492669336578e-08,0.0,0.07422034442424774,0.03693140298128128,0.0,3.730429172515869,0.047236428,0.010849204,0.7944817,0.97351635
2,0.8089612126350403,0.06655385,0.9027991890907288,0.869221568107605,0.935135543346405,0.3535533504377355,0.24999995769767977,0.2499999855138082,4.304777501346138e-08,1.8699492669336578e-08,0.0,0.03915936499834061,0.009941386058926582,0.0,1.023356556892395,0.056543227,0.010010629,0.86923194,0.9351365
3,0.8465085625648499,0.07372622,0.9235130548477173,0.9246709942817688,0.9223548769950867,0.3535533504377355,0.24999995769767977,0.2499999855138082,4.304777501346138e-08,1.8699492669336578e-08,0.0,0.05371301248669624,0.020051375031471252,0.0,2.0387990474700928,0.06398735,0.009738866,0.92468214,0.9223559
4,0.8358660936355591,0.0719421,0.9176894426345825,0.9114532470703125,0.9238764047622681,0.3535533504377355,0.24999995769767977,0.2499999855138082,4.304777501346138e-08,1.8699492669336578e-08,0.0,0.06631162762641907,0.028939679265022278,0.0,2.931339740753174,0.06217108,0.009771021,0.91146415,0.9238773
5,0.7996437549591064,0.06585229,0.8975851535797119,0.8647940158843994,0.9291840195655823,0.3535533504377355,0.24999995769767977,0.2499999855138082,4.304777501346138e-08,1.8699492669336578e-08,0.0,0.0619099885225296,0.02537454478442669,0.0,2.5739898681640625,0.055968683,0.0098836105,0.8648045,0.9291849
6,0.7676292657852173,0.06055975,0.8794337511062622,0.8222135901451111,0.9330917596817017,0.3535533504377355,0.24999995769767977,0.2499999855138082,4.304777501346138e-08,1.8699492669336578e-08,0.0,0.05001655966043472,0.016502024605870247,0.0,1.6837170124053955,0.05059283,0.009966919,0.8222235,0.93309265
7,0.752758264541626,0.058484513,0.8708735704421997,0.8054264187812805,0.9316673278808594,0.3535533504377355,0.24999995769767977,0.2499999855138082,4.304777501346138e-08,1.8699492669336578e-08,0.0,0.04090188443660736,0.010031795129179955,0.0,1.0340496301651,0.048548,0.0099365115,0.8054361,0.9316683
8,0.7462917566299438,0.05813626,0.8671249151229858,0.8034738302230835,0.9263470768928528,0.3535533504377355,0.24999995769767977,0.2499999855138082,4.304777501346138e-08,1.8699492669336578e-08,0.0,0.03993479907512665,0.010171554051339626,0.0,1.0469186305999756,0.048312906,0.009823353,0.80348355,0.92634803
9,0.7414142489433289,0.057905354,0.8642867803573608,0.8023102879524231,0.9220426082611084,0.3535533504377355,0.24999995769767977,0.2499999855138082,4.304777501346138e-08,1.8699492669336578e-08,0.0,0.04165071249008179,0.012215589173138142,0.0,1.250994086265564,0.04817308,0.009732271,0.80232,0.9220435
