epoch,mse_normalized,mse_physical,l2_norm_error,l2_norm_u,l2_norm_v,parameter_error,du_error,dv_error,f_error,k_error,physics_loss,data_loss,ic_loss,bc_loss,total_loss,u_mse,v_mse,u_relative_error,v_relative_error
0,0.9200023412704468,0.0744779,0.9627684354782104,0.9165964126586914,1.0067757368087769,0.3535605681695896,0.2500105375215984,0.2499996129848249,4.304777501346138e-08,1.8699492669336578e-08,9.692613275547046e-06,0.16565479338169098,0.10606825351715088,0.0,10.666420936584473,0.062874705,0.011603196,0.9166074,1.0067767
1,0.7836652398109436,0.058085587,0.888572096824646,0.7944693565368652,0.9735282063484192,0.3535701174483233,0.25002469362402474,0.24999896105910416,4.304777501346138e-08,1.8699492669336578e-08,9.190031960315537e-06,0.0742194727063179,0.03693075478076935,0.0,3.7303733825683594,0.0472361,0.010849488,0.794479,0.9735291
2,0.8089630007743835,0.06655371,0.9028002619743347,0.8692197799682617,0.9351391196250916,0.35364309586893383,0.2501290017471663,0.2499978434721543,4.304777501346138e-08,1.8699492669336578e-08,1.5178726243902929e-05,0.03915932774543762,0.00994139350950718,0.0,1.0233724117279053,0.056543004,0.010010705,0.8692302,0.93514
3,0.8465055227279663,0.07372585,0.9235114455223083,0.9246683716773987,0.9223542213439941,0.3537194101382866,0.25023725867782676,0.24999747094317104,4.304777501346138e-08,1.8699492669336578e-08,2.113431219186168e-05,0.05371289700269699,0.020051361992955208,0.0,2.0388190746307373,0.063986994,0.009738851,0.9246795,0.9223552
4,0.8358640670776367,0.071941815,0.9176883697509766,0.9114511013031006,0.9238764047622681,0.3537925775105583,0.25034067273134136,0.24999747094317104,4.304777501346138e-08,1.8699492669336578e-08,1.871847234724555e-05,0.0663108229637146,0.028939057141542435,0.0,2.9312963485717773,0.062170792,0.00977102,0.91146207,0.92387724
5,0.7996463179588318,0.06585226,0.8975865840911865,0.8647931814193726,0.9291874766349792,0.35386164655304186,0.2504379028032697,0.2499978434721543,4.304777501346138e-08,1.8699492669336578e-08,1.204091495310422e-05,0.06190910190343857,0.025373782962560654,0.0,2.573925733566284,0.055968575,0.009883685,0.8648036,0.9291884
6,0.7676369547843933,0.060560033,0.8794382214546204,0.822214663028717,0.9330992102622986,0.3539255070450664,0.2505273842717647,0.24999858853012089,4.304777501346138e-08,1.8699492669336578e-08,5.375488399295136e-06,0.0500161312520504,0.016501575708389282,0.0,1.6836774349212646,0.050592955,0.009967076,0.8222245,0.9331
7,0.7527669072151184,0.058484897,0.8708785772323608,0.8054282069206238,0.9316750168800354,0.3539786981771831,0.25060233710882207,0.24999877479461252,4.304777501346138e-08,1.8699492669336578e-08,3.939162979804678e-06,0.040902260690927505,0.010031974874436855,0.0,1.034071683883667,0.04854822,0.009936675,0.8054379,0.9316759
8,0.7462981343269348,0.058136497,0.8671286106109619,0.8034747838973999,0.9263531565666199,0.3540126976728772,0.25065165994990757,0.24999747094317104,4.304777501346138e-08,1.8699492669336578e-08,7.793933036737144e-06,0.0399356484413147,0.010172171518206596,0.0,1.0469883680343628,0.048313014,0.009823482,0.80348444,0.9263541
9,0.7414190769195557,0.057905573,0.8642896413803101,0.8023114204406738,0.9220468997955322,0.3540333746592209,0.25068295238685007,0.24999537546764009,4.304777501346138e-08,1.8699492669336578e-08,8.574304956709966e-06,0.041651271283626556,0.012216027826070786,0.0,1.2510466575622559,0.04817321,0.009732362,0.8023211,0.9220478
10,0.7379464507102966,0.057662442,0.8622630834579468,0.8007070422172546,0.9196443557739258,0.354044023693318,0.2507006847677841,0.24999267463251132,4.304777501346138e-08,1.8699492669336578e-08,6.557992037414806e-06,0.04156428948044777,0.012406904250383377,0.0,1.2698544263839722,0.047980733,0.009681709,0.8007166,0.91964525
11,0.7378905415534973,0.05774809,0.8622303605079651,0.8015627264976501,0.9188381433486938,0.3540475844033303,0.25070873139442645,0.24998964783452216,4.304777501346138e-08,1.8699492669336578e-08,4.0157892726711e-06,0.03985966742038727,0.010956162586808205,0.0,1.1245237588882446,0.048083346,0.009664743,0.8015724,0.91883916
12,0.7401270866394043,0.05808407,0.8635361194610596,0.804356038570404,0.9188509583473206,0.35404863956188815,0.2507134252599678,0.24998643477204138,4.304777501346138e-08,1.8699492669336578e-08,2.7489650165080093e-06,0.0381520539522171,0.00927845947444439,0.0,0.9567223191261292,0.04841906,0.009665011,0.80436575,0.91885185
13,0.7377585768699646,0.057687055,0.8621532320976257,0.8009920120239258,0.9191905856132507,0.35405990378087865,0.2507323497337378,0.24998340797405222,4.304777501346138e-08,1.8699492669336578e-08,3.280882765466231e-06,0.037761952728033066,0.008692455478012562,0.0,0.8983182907104492,0.048014898,0.009672157,0.8010016,0.9191914
14,0.7354699373245239,0.057249963,0.8608149886131287,0.7971991300582886,0.9199768304824829,0.3540797815753005,0.25076297161846006,0.24998084683729216,4.304777501346138e-08,1.8699492669336578e-08,3.99623422708828e-06,0.03781198337674141,0.008809483610093594,0.0,0.909954845905304,0.047561254,0.009688709,0.7972087,0.9199776
15,0.7355037927627563,0.057133205,0.8608347773551941,0.7960355281829834,0.9210196137428284,0.3541081092856007,0.25080491838512337,0.24997889106012997,4.304777501346138e-08,1.8699492669336578e-08,4.217396053718403e-06,0.0376066118478775,0.00868462584912777,0.0,0.897388756275177,0.047422517,0.009710687,0.7960451,0.9210205
16,0.7373557090759277,0.057356745,0.8619178533554077,0.7978251576423645,0.9214975237846375,0.3541480165950749,0.2508628838992692,0.24997726124582811,4.304777501346138e-08,1.8699492669336578e-08,3.929190825147089e-06,0.03725893795490265,0.008276969194412231,0.0,0.8566828370094299,0.04763598,0.009720767,0.79783475,0.9214984
17,0.7337272763252258,0.057009444,0.859794557094574,0.7952149510383606,0.9197845458984375,0.3542024444894432,0.25094133850903205,0.24997563143152626,4.304777501346138e-08,1.8699492669336578e-08,3.2079014999908395e-06,0.03733577951788902,0.008168923668563366,0.0,0.8460624814033508,0.047324784,0.009684661,0.7952244,0.9197855
18,0.7283397316932678,0.056372926,0.8566321730613708,0.7901180386543274,0.9182727336883545,0.3542568684803852,0.25101986762459716,0.24997390848497858,4.304777501346138e-08,1.8699492669336578e-08,2.4541973289160524e-06,0.03720223903656006,0.008242413401603699,0.0,0.8532035946846008,0.046720076,0.00965285,0.79012746,0.9182736
19,0.725168764591217,0.05588945,0.8547652959823608,0.7860113978385925,0.9183158278465271,0.3543056200956793,0.25109079714833343,0.24997176644332472,4.304777501346138e-08,1.8699492669336578e-08,2.0511645288934233e-06,0.03662651777267456,0.008066165260970592,0.0,0.8351789116859436,0.046235695,0.009653756,0.7860209,0.9183167
20,0.7272127270698547,0.056038633,0.8559690713882446,0.7870348691940308,0.9196804761886597,0.35434226414382347,0.25114593144199393,0.24996832055022938,4.304777501346138e-08,1.8699492669336578e-08,1.776831595634576e-06,0.035933662205934525,0.007708944845944643,0.0,0.7991209626197815,0.046356164,0.00968247,0.7870442,0.9196814
21,0.7289500832557678,0.05633607,0.8569909930229187,0.7896094918251038,0.9193783402442932,0.35436438059299274,0.2511817687328733,0.24996366393793837,4.304777501346138e-08,1.8699492669336578e-08,1.553227207296004e-06,0.035897549241781235,0.007663887459784746,0.0,0.7946239709854126,0.04665996,0.009676109,0.78961897,0.91937923
22,0.7281369566917419,0.056314502,0.8565129041671753,0.789581298828125,0.9185114502906799,0.3543797731604784,0.2512084418100766,0.249958681362787,4.304777501346138e-08,1.8699492669336578e-08,1.5810002196303685e-06,0.03618721291422844,0.007792660966515541,0.0,0.807662308216095,0.04665663,0.00965787,0.78959084,0.91851234
23,0.7250085473060608,0.05588664,0.8546708226203918,0.7860203385353088,0.9181323647499084,0.35438967543762895,0.2512277388128578,0.24995332625865235,4.304777501346138e-08,1.8699492669336578e-08,1.7019235656334786e-06,0.03613026812672615,0.0077115921303629875,0.0,0.7995796203613281,0.046236742,0.009649901,0.78602976,0.9181333
24,0.7238613963127136,0.05567132,0.8539944887161255,0.7841230630874634,0.918494701385498,0.3543941737166999,0.2512401067760303,0.24994727266267405,4.304777501346138e-08,1.8699492669336578e-08,1.7272778904953157e-06,0.035794325172901154,0.007555043324828148,0.0,0.7837453484535217,0.0460138,0.00965752,0.7841324,0.91849566
25,0.7259775996208191,0.05597635,0.8552418947219849,0.7866958379745483,0.9186171889305115,0.3543969507341059,0.2512504630825422,0.24994079997158958,4.304777501346138e-08,1.8699492669336578e-08,1.7851900793175446e-06,0.035633694380521774,0.007481907494366169,0.0,0.776344358921051,0.046316255,0.009660094,0.7867054,0.9186181
26,0.726222038269043,0.05610369,0.8553858399391174,0.7879149317741394,0.9178411960601807,0.3544028518374361,0.251265364242991,0.24993418758213634,4.304777501346138e-08,1.8699492669336578e-08,1.9114893348159967e-06,0.035823386162519455,0.007499757222831249,0.0,0.7783012986183167,0.046459913,0.00964378,0.78792447,0.9178421
27,0.7246525883674622,0.055959977,0.8544610738754272,0.7868379950523376,0.9170418381690979,0.3544109451470263,0.2512831711297273,0.24992776145717477,4.304777501346138e-08,1.8699492669336578e-08,1.8053106032311916e-06,0.03591468930244446,0.007492324337363243,0.0,0.7776565551757812,0.046332985,0.009626991,0.7868474,0.9170428
28,0.7229109406471252,0.0557539,0.8534336090087891,0.7851731181144714,0.9165547490119934,0.3544202486416528,0.25130291516732195,0.24992110250159863,4.304777501346138e-08,1.8699492669336578e-08,1.7451848179916851e-06,0.03577588498592377,0.007398529909551144,0.0,0.7682320475578308,0.046137135,0.009616766,0.78518265,0.91655564
29,0.7220197319984436,0.055614073,0.8529074788093567,0.7839744091033936,0.9166007041931152,0.35442911762847024,0.2513221376643009,0.2499143504137767,4.304777501346138e-08,1.8699492669336578e-08,1.840145387177472e-06,0.0356246754527092,0.007365337572991848,0.0,0.7647949457168579,0.04599634,0.009617731,0.7839837,0.91660166
30,0.7225269675254822,0.05568747,0.853206992149353,0.7845947742462158,0.9166276454925537,0.35443563154526714,0.2513384544349923,0.24990717923084854,4.304777501346138e-08,1.8699492669336578e-08,1.7716103002385353e-06,0.03545845299959183,0.007328897714614868,0.0,0.7610211372375488,0.046069175,0.009618294,0.78460413,0.9166285
31,0.7220370173454285,0.055655558,0.8529176115989685,0.7843875288963318,0.9162664413452148,0.3544408309853544,0.2513526850432209,0.24990024087853493,4.304777501346138e-08,1.8699492669336578e-08,1.6211515685427003e-06,0.03544112294912338,0.007331268861889839,0.0,0.7612383365631104,0.04604484,0.009610716,0.7843969,0.91626734
32,0.7210129499435425,0.05548183,0.8523126244544983,0.7828767895698547,0.9164316654205322,0.35444599104051344,0.25136676663984503,0.2498933956584672,4.304777501346138e-08,1.8699492669336578e-08,1.6706749192962889e-06,0.03539947420358658,0.0073064034804701805,0.0,0.7587351202964783,0.045867644,0.009614183,0.78288615,0.9164325
33,0.7218853831291199,0.05556336,0.8528280854225159,0.7834951877593994,0.9168621897697449,0.35445150001290326,0.25138092274227136,0.2498869695335056,4.304777501346138e-08,1.8699492669336578e-08,1.718264343253395e-06,0.03529930114746094,0.007237584330141544,0.0,0.7518219351768494,0.045940142,0.009623219,0.7835046,0.91686314
34,0.7233864068984985,0.05579194,0.8537141680717468,0.7854452133178711,0.9168441295623779,0.3544574235276126,0.25139515335049994,0.24988105563589602,4.304777501346138e-08,1.8699492669336578e-08,1.7513756347398157e-06,0.035382404923439026,0.007208419963717461,0.0,0.7490177154541016,0.0461691,0.009622841,0.78545463,0.9168451
35,0.7228767275810242,0.055756286,0.853413462638855,0.7852051854133606,0.9164896607398987,0.35446364305004835,0.2514093839587285,0.24987556083339263,4.304777501346138e-08,1.8699492669336578e-08,1.7572273236510227e-06,0.03553793579339981,0.007205355912446976,0.0,0.7488698959350586,0.046140887,0.0096154,0.78521454,0.9164905
36,0.720649003982544,0.05548249,0.8520975112915039,0.7829679250717163,0.9159538745880127,0.35447019137018837,0.2514236145669571,0.24987053169211837,4.304777501346138e-08,1.8699492669336578e-08,1.6910511249079718e-06,0.03549519181251526,0.0071793789975345135,0.0,0.7462553977966309,0.045878332,0.00960416,0.78297734,0.9159547
37,0.7194963693618774,0.05534992,0.8514156937599182,0.781899631023407,0.9155980944633484,0.3544767914084258,0.25143754715197675,0.24986587507982735,4.304777501346138e-08,1.8699492669336578e-08,1.6479752957820892e-06,0.03528411686420441,0.007135346531867981,0.0,0.7416850924491882,0.04575322,0.009596701,0.781909,0.915599
38,0.7196906805038452,0.055407,0.8515306711196899,0.7824299335479736,0.9153592586517334,0.3544834887296851,0.25145110720798514,0.24986173069488837,4.304777501346138e-08,1.8699492669336578e-08,1.7323103520539007e-06,0.035150207579135895,0.007104973308742046,0.0,0.7385442852973938,0.045815304,0.009591695,0.7824393,0.9153601
39,0.7191586494445801,0.055347234,0.8512158989906311,0.7819511294364929,0.9151826500892639,0.3544901102329641,0.25146377319436664,0.24985837793403884,4.304777501346138e-08,1.8699492669336578e-08,1.9431320197327295e-06,0.0351511612534523,0.0070912521332502365,0.0,0.7371870875358582,0.04575924,0.009587995,0.7819605,0.9151836
40,0.718826174736023,0.055304226,0.851019024848938,0.781594455242157,0.9151212573051453,0.3544968216098752,0.2514759176401324,0.24985567709891007,4.304777501346138e-08,1.8699492669336578e-08,2.0740635591209866e-06,0.03511035069823265,0.007058183662593365,0.0,0.7338725924491882,0.04571752,0.009586708,0.7816039,0.91512215
41,0.719222366809845,0.0553756,0.8512535691261292,0.7822222709655762,0.9150213003158569,0.35450485123745773,0.25148917967293183,0.24985372132174785,4.304777501346138e-08,1.8699492669336578e-08,2.0527527340163942e-06,0.03511548787355423,0.007048586383461952,0.0,0.7329275608062744,0.045790985,0.009584613,0.7822317,0.91502213
42,0.718781054019928,0.05531067,0.8509924411773682,0.781670093536377,0.9150071144104004,0.3545141062062168,0.25150333577535816,0.249852603734798,4.304777501346138e-08,1.8699492669336578e-08,2.0133988982706796e-06,0.035125091671943665,0.007001123391091824,0.0,0.7282383441925049,0.045726355,0.009584315,0.78167945,0.91500795
43,0.7173680663108826,0.05512321,0.8501554727554321,0.7801058888435364,0.9147854447364807,0.35452458651936203,0.25151838594741144,0.24985232433806054,4.304777501346138e-08,1.8699492669336578e-08,1.922032879519975e-06,0.035064976662397385,0.006970307789742947,0.0,0.7251273393630981,0.045543537,0.009579672,0.78011525,0.9147862
44,0.7175251245498657,0.05517194,0.8502485752105713,0.7805616855621338,0.9145697951316833,0.35453664942673363,0.2515349262355096,0.24985278999928964,4.304777501346138e-08,1.8699492669336578e-08,1.895614218483388e-06,0.03496326506137848,0.006964820437133312,0.0,0.7244824171066284,0.045596782,0.009575158,0.7805711,0.9145707
