params_real,params_hybrid,params_phys
3.0,2.8706584,2.870656
2.5,1.8605086,1.8606012
1.0,0.99674785,0.9967469
-2.0,-1.9404275,-1.9404502
1.0,0.99426454,0.99426323
-2.0,-1.9455609,-1.9455745
1.0,1.0,1.0
1.0,1.0,1.0
