params_real,params_hybrid,params_phys
3.0,2.8656325,2.8656163
2.5,1.294205,1.2972709
1.0,0.9927116,0.99271524
-2.0,-1.8939618,-1.8941542
1.0,0.99146605,0.99146724
-2.0,-1.8381903,-1.839559
1.0,1.0,1.0
1.0,1.0,1.0
