mse,p_norm,l2_norm
0.0072237677,1.5020856,0.49950448
0.0072003426,1.502649,0.49869394
0.007178876,1.5032111,0.49795
0.007161387,1.5037696,0.49734306
0.0071435086,1.504327,0.49672186
0.0071215234,1.5048836,0.4959569
0.0070985053,1.5054394,0.49515477
0.0070805876,1.5059949,0.49452946
0.007063721,1.5065467,0.49394006
0.0070449705,1.5070932,0.4932841
0.0070245983,1.5076424,0.49257034
0.007003243,1.5081925,0.49182105
0.0069857286,1.5087454,0.49120566
0.0069706724,1.509294,0.49067602
0.006952951,1.5098398,0.49005193
0.006931567,1.5103838,0.48929775
0.00691335,1.5109255,0.48865438
0.006898234,1.511469,0.48811987
0.0068838983,1.5120137,0.4876124
0.0068649445,1.5125587,0.48694062
0.0068446044,1.5131003,0.48621875
0.006829184,1.5136416,0.48567072
0.006815836,1.5141854,0.48519585
0.0068005985,1.514725,0.48465317
0.0067820437,1.5152643,0.4839916
0.006765691,1.5158031,0.48340774
0.0067521767,1.5163345,0.4829247
0.0067379354,1.5168658,0.4824151
0.0067221974,1.5173889,0.4818514
0.006705698,1.5179096,0.48125973
0.0066904793,1.5184307,0.48071328
0.0066761514,1.5189524,0.48019823
0.00666464,1.5194747,0.4797841
0.0066493247,1.5199952,0.47923252
0.006633195,1.5205135,0.47865093
0.0066181542,1.5210271,0.47810793
0.006607735,1.5215373,0.47773147
0.0065956935,1.5220474,0.47729594
0.006581379,1.5225581,0.4767777
0.006565383,1.523069,0.476198
0.006551004,1.5235727,0.4756762
0.006540726,1.5240741,0.47530293
0.006530722,1.524573,0.47493935
0.0065155234,1.5250711,0.47438633
0.006499911,1.5255733,0.47381768
0.006488833,1.5260673,0.4734137
0.006480799,1.5265591,0.47312054
0.006469669,1.5270505,0.4727141
0.0064535583,1.5275382,0.47212514
0.006437374,1.5280237,0.4715328
0.0064288285,1.5285096,0.4712197
0.0064224065,1.5289844,0.47098428
0.0064085913,1.5294561,0.47047743
0.006391342,1.5299265,0.46984383
0.006379162,1.5304029,0.46939594
0.0063742995,1.5308814,0.469217
