mse_hybrid_syn,mse_hybrid_phys,mse_phys_only,p_error_hybrid_phys,p_error_hybrid_syn,p_error_phys_only,l2_error_hybrid_phys,l2_error_hybrid_syn,l2_error_phys_only
0.013094542,0.055870455,0.05586918,1.4189175,0.0,1.4276475,0.7451634,0.84800845,0.7441925
0.013037167,0.055865053,0.055863738,1.4186356,0.0,1.4275383,0.74516535,0.8469134,0.7441747
0.012979417,0.055859588,0.055858236,1.4183527,0.0,1.4274288,0.74516726,0.845842,0.7441568
0.012921145,0.055854075,0.055852674,1.418067,0.0,1.4273189,0.7451695,0.8448286,0.7441384
0.012862463,0.05584849,0.055847075,1.417777,0.0,1.4272088,0.7451718,0.8439198,0.74411994
0.01280337,0.05584288,0.055841405,1.4174834,0.0,1.4270983,0.7451739,0.8431602,0.7441011
0.012743804,0.055837184,0.055835683,1.417185,0.0,1.4269873,0.7451756,0.84247214,0.7440821
0.0126836905,0.05583144,0.055829894,1.4168829,0.0,1.4268761,0.7451774,0.8419195,0.7440627
0.012623094,0.05582563,0.055824045,1.416578,0.0,1.4267645,0.74517936,0.8414309,0.74404305
0.012561948,0.055819772,0.055818137,1.4162617,0.0,1.4266524,0.74518085,0.8409308,0.74402314
0.012500525,0.055813864,0.05581217,1.4159418,0.0,1.4265401,0.74518186,0.8405412,0.74400294
0.0124383075,0.055807874,0.055806126,1.41562,0.0,1.4264274,0.7451825,0.8401816,0.74398243
0.012375431,0.05580182,0.055800032,1.415297,0.0,1.4263142,0.7451837,0.839962,0.7439616
0.012311432,0.055795707,0.05579386,1.4149733,0.0,1.4262007,0.74518436,0.83962786,0.7439404
0.01224664,0.05578953,0.05578762,1.414649,0.0,1.4260869,0.74518585,0.8393529,0.74391896
0.01218117,0.055783294,0.055781316,1.4143211,0.0,1.4259727,0.74518764,0.8389028,0.7438972
0.012114864,0.055776987,0.055774935,1.4139895,0.0,1.4258581,0.7451892,0.8384048,0.7438749
0.012047882,0.05577062,0.055768494,1.4136528,0.0,1.4257432,0.7451906,0.83803236,0.7438525
0.011980095,0.055764172,0.055761978,1.4133164,0.0,1.4256278,0.7451916,0.8374735,0.7438297
0.011911709,0.055757657,0.05575538,1.4129778,0.0,1.4255121,0.7451931,0.8368353,0.7438065
0.011842447,0.05575106,0.055748712,1.4126415,0.0,1.425396,0.7451943,0.8361904,0.743783
0.011772372,0.05574439,0.055741962,1.4123039,0.0,1.4252795,0.7451961,0.835463,0.74375904
0.011701611,0.05573764,0.055735134,1.4119647,0.0,1.4251627,0.7451974,0.83473444,0.7437347
0.011630798,0.05573082,0.05572823,1.4116203,0.0,1.4250454,0.74519867,0.83388454,0.74371
0.011559804,0.055723913,0.055721253,1.4112717,0.0,1.4249278,0.7452001,0.8331017,0.74368495
0.011488375,0.055716936,0.055714183,1.4109167,0.0,1.4248098,0.7452007,0.8320944,0.74365944
0.011416529,0.05570987,0.055707023,1.4105601,0.0,1.4246914,0.74520105,0.83104026,0.74363345
0.0113444375,0.055702735,0.055699788,1.4102035,0.0,1.4245727,0.7452016,0.83007324,0.74360716
0.011271429,0.055695504,0.05569247,1.4098442,0.0,1.4244536,0.7452023,0.82914793,0.74358046
0.011197255,0.05568818,0.05568505,1.4094795,0.0,1.424334,0.7452031,0.8282851,0.7435532
0.011121937,0.055680774,0.05567755,1.4091116,0.0,1.4242142,0.7452034,0.82745767,0.7435256
0.011045955,0.05567327,0.055669963,1.4087362,0.0,1.4240941,0.74520373,0.8266683,0.7434976
0.010969284,0.05566569,0.055662267,1.4083589,0.0,1.4239736,0.7452037,0.8258871,0.74346894
0.01089167,0.055658,0.055654492,1.4079798,0.0,1.4238527,0.7452049,0.8251025,0.74344003
0.010812985,0.05565022,0.055646624,1.4075979,0.0,1.4237314,0.74520594,0.82420075,0.7434105
0.01073357,0.055642333,0.05563866,1.407214,0.0,1.4236099,0.74520886,0.8230687,0.7433806
0.010653152,0.05563434,0.05563058,1.4068283,0.0,1.4234879,0.7452128,0.821957,0.74335
0.010570613,0.055626247,0.0556224,1.4064391,0.0,1.4233656,0.7452158,0.82085454,0.74331903
