mse_hybrid_syn,mse_hybrid_phys,mse_phys_only,p_error_hybrid_phys,p_error_hybrid_syn,p_error_phys_only,l2_error_hybrid_phys,l2_error_hybrid_syn,l2_error_phys_only
0.00054373144,0.016849214,0.016849214,1.4336978,0.0,1.4336978,0.7449561,0.19525386,0.7449561
0.0006298393,0.016846763,0.016846763,1.433486,0.0,1.433486,0.7449092,0.17166905,0.7449092
0.00045261192,0.016844315,0.016844315,1.433274,0.0,1.433274,0.74486244,0.15526573,0.74486244
0.0004404297,0.01684187,0.01684187,1.4330621,0.0,1.4330621,0.7448158,0.15630434,0.7448158
0.0004723605,0.016839424,0.016839424,1.4328501,0.0,1.4328501,0.74476916,0.1560727,0.7447691
0.00042642263,0.016836973,0.016836973,1.432638,0.0,1.432638,0.74472237,0.17655118,0.74472237
0.00054817833,0.016834522,0.01683452,1.4324259,0.0,1.4324259,0.74467564,0.19323269,0.74467564
0.00071910763,0.01683207,0.01683207,1.4322135,0.0,1.4322135,0.7446288,0.18415153,0.7446288
0.0006768549,0.016829617,0.016829617,1.432001,0.0,1.432001,0.74458206,0.17281933,0.74458206
0.0006336192,0.01682716,0.01682716,1.4317882,0.0,1.4317882,0.74453527,0.16726567,0.7445352
0.00064352,0.016824706,0.016824706,1.4315752,0.0,1.4315752,0.74448836,0.16796689,0.74448836
0.0006780001,0.016822241,0.016822241,1.4313619,0.0,1.4313619,0.74444145,0.1713551,0.74444145
0.0006840208,0.016819777,0.016819775,1.4311483,0.0,1.4311483,0.7443945,0.1826279,0.7443945
0.00076035986,0.016817307,0.016817307,1.4309342,0.0,1.4309342,0.74434745,0.19071865,0.74434745
0.00083643355,0.016814837,0.016814837,1.4307199,0.0,1.4307199,0.74430037,0.19198921,0.74430037
0.0008602298,0.01681236,0.01681236,1.430505,0.0,1.4305049,0.74425316,0.18363135,0.74425316
0.0007974345,0.016809877,0.016809877,1.4302896,0.0,1.4302896,0.7442059,0.17781417,0.7442059
0.0007630043,0.016807389,0.016807389,1.4300739,0.0,1.4300739,0.7441586,0.17800304,0.7441586
0.00078327383,0.0168049,0.0168049,1.4298575,0.0,1.4298575,0.74411124,0.17310719,0.74411124
0.0007528475,0.016802402,0.0168024,1.4296407,0.0,1.4296405,0.74406374,0.16142091,0.7440637
0.0006509794,0.016799899,0.016799899,1.4294231,0.0,1.429423,0.7440161,0.1542943,0.74401605
0.0005885132,0.016797386,0.016797386,1.429205,0.0,1.4292048,0.74396837,0.1628407,0.74396837
0.00066378864,0.01679487,0.01679487,1.428986,0.0,1.428986,0.74392045,0.1762336,0.74392045
0.0007989319,0.016792346,0.016792346,1.4287665,0.0,1.4287664,0.7438725,0.17807144,0.7438725
0.0008353161,0.016789814,0.016789813,1.4285461,0.0,1.4285461,0.7438244,0.16689596,0.7438244
0.0007487716,0.016787274,0.016787274,1.428325,0.0,1.4283249,0.7437762,0.15544075,0.7437762
0.00067000976,0.016784724,0.016784724,1.4281031,0.0,1.428103,0.74372774,0.15052772,0.7437277
0.0006406625,0.016782168,0.016782168,1.4278803,0.0,1.4278802,0.74367917,0.15614083,0.74367917
0.0006983703,0.016779603,0.016779603,1.4276567,0.0,1.4276565,0.74363047,0.16122802,0.74363047
0.0007481182,0.01677703,0.016777027,1.4274321,0.0,1.427432,0.7435816,0.15877631,0.7435816
0.00072537817,0.016774444,0.016774442,1.4272065,0.0,1.4272064,0.7435326,0.15011828,0.74353254
0.00064420956,0.01677185,0.016771846,1.42698,0.0,1.4269799,0.74348336,0.14495784,0.7434833
0.00058640103,0.016769247,0.016769243,1.4267524,0.0,1.4267522,0.74343395,0.15139912,0.74343395
0.0006094313,0.016766626,0.016766626,1.4265238,0.0,1.4265237,0.7433843,0.16348082,0.7433843
0.00067580276,0.016764004,0.016764002,1.4262941,0.0,1.4262938,0.7433346,0.17131306,0.7433346
0.0007229742,0.016761363,0.01676136,1.4260632,0.0,1.4260631,0.7432846,0.1683257,0.7432845
0.00069291354,0.016758714,0.016758712,1.4258311,0.0,1.425831,0.74323434,0.15921271,0.74323434
0.0006362993,0.016756054,0.01675605,1.4255978,0.0,1.4255977,0.743184,0.14993922,0.743184
