mse_hybrid_syn,mse_hybrid_phys,mse_phys_only,p_error_hybrid_phys,p_error_hybrid_syn,p_error_phys_only,l2_error_hybrid_phys,l2_error_hybrid_syn,l2_error_phys_only
3.2074557e-05,1.2537734e-05,1.2660715e-05,0.3242238,0.0,0.3278475,0.018494774,0.062466796,0.018634193
2.98968e-05,1.2506714e-05,1.26296045e-05,0.32402894,0.0,0.3276543,0.018476348,0.062936835,0.018615358
3.152226e-05,1.2475889e-05,1.2598675e-05,0.3238356,0.0,0.32746145,0.018457798,0.060680747,0.018596677
3.2759057e-05,1.2445216e-05,1.256792e-05,0.3236413,0.0,0.32726893,0.018438097,0.06397769,0.018578053
3.9926847e-05,1.2414779e-05,1.253739e-05,0.32344833,0.0,0.32707667,0.018419364,0.06689806,0.01855931
6.161935e-05,1.23845275e-05,1.2507054e-05,0.32325476,0.0,0.32688463,0.01839937,0.06359894,0.018540341
4.1795647e-05,1.2354502e-05,1.2476896e-05,0.32306263,0.0,0.3266928,0.018379802,0.059433956,0.018521115
2.8417166e-05,1.2324658e-05,1.244697e-05,0.32287124,0.0,0.3265011,0.018358745,0.062096525,0.018501576
3.0317442e-05,1.229505e-05,1.2417232e-05,0.32267886,0.0,0.32630953,0.018336808,0.06496916,0.01848169
3.816827e-05,1.2265615e-05,1.2387735e-05,0.32248807,0.0,0.32611805,0.01831552,0.062754326,0.01846147
3.2150754e-05,1.2236409e-05,1.2358398e-05,0.3222966,0.0,0.32592666,0.01829283,0.058744803,0.01844099
2.5485138e-05,1.2207427e-05,1.2329296e-05,0.32210335,0.0,0.32573533,0.018270519,0.060044087,0.01842024
2.9940647e-05,1.2178651e-05,1.2300383e-05,0.32191044,0.0,0.3255441,0.018249696,0.06257807,0.018399348
3.8526767e-05,1.2150066e-05,1.2271694e-05,0.3217156,0.0,0.3253529,0.018228592,0.06679749,0.018378358
4.4162203e-05,1.21217e-05,1.2243235e-05,0.321524,0.0,0.32516184,0.018209245,0.067429975,0.01835729
4.2450036e-05,1.20935565e-05,1.2214956e-05,0.32133067,0.0,0.3249709,0.018187346,0.063321605,0.018336283
3.0532883e-05,1.20656005e-05,1.21868925e-05,0.3211367,0.0,0.3247801,0.0181672,0.06066906,0.018315332
2.3555405e-05,1.2037897e-05,1.2159054e-05,0.32094452,0.0,0.3245895,0.01814792,0.06470582,0.018294567
5.3321524e-05,1.20103905e-05,1.2131429e-05,0.32074952,0.0,0.32439905,0.018127527,0.076921426,0.018273978
8.7421475e-05,1.1983122e-05,1.21040175e-05,0.32055736,0.0,0.32420883,0.018110067,0.07584034,0.018253634
9.2742164e-05,1.1956026e-05,1.2076799e-05,0.32036355,0.0,0.32401887,0.01809061,0.07047658,0.01823356
6.16298e-05,1.1929159e-05,1.2049803e-05,0.32017088,0.0,0.32382917,0.018073024,0.063445434,0.018213749
3.0574258e-05,1.1902513e-05,1.2023035e-05,0.31998104,0.0,0.3236398,0.018055085,0.06970233,0.018194236
5.4550674e-05,1.18760645e-05,1.19964425e-05,0.3197885,0.0,0.32345083,0.01803528,0.073322386,0.018175006
7.5614524e-05,1.1849829e-05,1.1970076e-05,0.31959912,0.0,0.32326218,0.018018628,0.07187958,0.018156065
7.717473e-05,1.1823832e-05,1.1943937e-05,0.31941038,0.0,0.32307392,0.017999746,0.06306374,0.018137354
3.2419703e-05,1.1797996e-05,1.1917977e-05,0.31922096,0.0,0.32288605,0.017980857,0.0696805,0.018118896
5.532789e-05,1.1772366e-05,1.1892225e-05,0.31903538,0.0,0.32269856,0.01796309,0.07612496,0.0181007
8.545694e-05,1.17469535e-05,1.1866678e-05,0.31884873,0.0,0.32251146,0.017942373,0.0677758,0.01808271
6.227713e-05,1.1721732e-05,1.1841333e-05,0.3186617,0.0,0.32232478,0.01792309,0.06379284,0.018064903
4.0304618e-05,1.1696701e-05,1.1816179e-05,0.318476,0.0,0.32213852,0.017904632,0.06961213,0.018047258
6.490409e-05,1.1671884e-05,1.1791236e-05,0.3182879,0.0,0.3219526,0.017885497,0.076837525,0.018029734
8.691861e-05,1.1647249e-05,1.1766476e-05,0.31810188,0.0,0.32176706,0.01786896,0.07039468,0.01801241
6.5882654e-05,1.1622822e-05,1.1741915e-05,0.31791478,0.0,0.3215819,0.017851153,0.0645742,0.01799518
3.7196634e-05,1.15985795e-05,1.1717541e-05,0.3177271,0.0,0.3213971,0.017834684,0.06377653,0.017978065
4.392975e-05,1.1574538e-05,1.1693367e-05,0.3175432,0.0,0.32121262,0.017819172,0.06701851,0.017961044
5.9344173e-05,1.1550675e-05,1.166939e-05,0.31735846,0.0,0.32102847,0.017800927,0.06483849,0.017944107
4.7000714e-05,1.1527009e-05,1.16455885e-05,0.31717443,0.0,0.32084462,0.017783733,0.060823023,0.017927315
2.6308326e-05,1.1503536e-05,1.1621982e-05,0.31699052,0.0,0.32066107,0.017766364,0.06053195,0.017910581
3.3601234e-05,1.1480223e-05,1.1598554e-05,0.3168032,0.0,0.32047778,0.017749226,0.06499432,0.017893955
4.2337942e-05,1.1457111e-05,1.1575316e-05,0.31661785,0.0,0.3202948,0.017735394,0.07115992,0.017877432
6.8319234e-05,1.14341865e-05,1.1552263e-05,0.3164318,0.0,0.32011205,0.017720189,0.070286654,0.017861037
5.7388494e-05,1.1411416e-05,1.15293815e-05,0.3162477,0.0,0.31992954,0.017705884,0.06264351,0.01784471
2.7903576e-05,1.1388876e-05,1.1506675e-05,0.31606546,0.0,0.3197473,0.017690314,0.06316007,0.017828519
3.5116926e-05,1.136648e-05,1.1484169e-05,0.31588107,0.0,0.3195653,0.017673424,0.06694831,0.017812444
5.1142335e-05,1.1344261e-05,1.1461822e-05,0.31569776,0.0,0.31938356,0.017658595,0.06235523,0.017796522
