mse_hybrid_syn,mse_hybrid_phys,mse_phys_only,p_error_hybrid_phys,p_error_hybrid_syn,p_error_phys_only,l2_error_hybrid_phys,l2_error_hybrid_syn,l2_error_phys_only
0.0006309956,0.028930778,0.028930778,1.4336978,0.0,1.4336978,0.7449561,0.911872,0.7449561
0.000722419,0.028927868,0.028927868,1.433486,0.0,1.433486,0.7449092,0.7826028,0.7449092
0.0010622661,0.028924964,0.028924963,1.4332739,0.0,1.433274,0.7448626,0.6520045,0.74486244
0.0016590821,0.028922062,0.028922057,1.4330617,0.0,1.4330621,0.74481595,0.5430217,0.7448158
0.0024366742,0.02891916,0.02891915,1.4328494,0.0,1.4328501,0.74476945,0.4758197,0.7447691
0.0033062967,0.028916243,0.02891623,1.4326366,0.0,1.432638,0.7447228,0.45644313,0.74472237
0.0039253985,0.028913328,0.028913306,1.4324236,0.0,1.4324259,0.74467635,0.46099612,0.74467564
0.004287657,0.028910413,0.02891038,1.4322102,0.0,1.4322135,0.74462986,0.46526647,0.7446288
0.0043408372,0.028907493,0.028907452,1.4319965,0.0,1.432001,0.7445835,0.46007794,0.744582
0.004163273,0.028904568,0.028904514,1.4317826,0.0,1.4317883,0.744537,0.44492698,0.7445352
0.0038409068,0.028901642,0.028901573,1.4315681,0.0,1.4315753,0.7444906,0.42130953,0.74448836
0.0034301984,0.028898705,0.02889862,1.4313536,0.0,1.431362,0.7444441,0.39841887,0.74444145
0.0030388692,0.02889576,0.028895663,1.4311389,0.0,1.4311484,0.74439764,0.3832882,0.7443944
0.002709419,0.028892804,0.028892696,1.4309238,0.0,1.4309344,0.7443509,0.3835576,0.7443474
0.0024698924,0.028889844,0.028889729,1.4307085,0.0,1.4307201,0.74430424,0.39663973,0.74430037
0.002326511,0.02888687,0.028886743,1.4304929,0.0,1.4305053,0.7442574,0.41388673,0.74425316
0.0022410979,0.028883886,0.028883751,1.430277,0.0,1.43029,0.74421024,0.4298949,0.7442059
0.0021818902,0.028880887,0.02888075,1.4300607,0.0,1.4300742,0.74416304,0.44121727,0.74415857
0.0021155819,0.02887788,0.02887774,1.4298441,0.0,1.429858,0.7441157,0.43969205,0.7441112
0.0020239889,0.028874863,0.028874721,1.429627,0.0,1.4296411,0.74406826,0.42835316,0.7440637
0.0019099716,0.028871832,0.028871693,1.4294094,0.0,1.4294237,0.7440206,0.40949565,0.744016
0.0017847489,0.028868785,0.028868647,1.4291914,0.0,1.4292055,0.7439727,0.3832501,0.7439682
0.0016695991,0.028865723,0.028865589,1.4289726,0.0,1.4289868,0.74392474,0.3575906,0.7439204
0.0015734255,0.028862655,0.028862525,1.4287531,0.0,1.4287673,0.7438767,0.33216095,0.74387246
0.001522055,0.028859572,0.028859446,1.428533,0.0,1.4285471,0.7438284,0.31177002,0.7438243
0.0015204884,0.028856475,0.028856352,1.428312,0.0,1.4283262,0.7437801,0.29873675,0.743776
0.0015619383,0.028853362,0.02885324,1.4280901,0.0,1.4281045,0.7437315,0.29157653,0.74372756
0.0016178528,0.02885024,0.02885012,1.4278673,0.0,1.4278818,0.7436829,0.28691357,0.74367905
0.0016639516,0.028847104,0.028846983,1.4276435,0.0,1.4276584,0.74363416,0.2819987,0.74363035
0.0016779342,0.028843954,0.028843831,1.4274187,0.0,1.427434,0.7435853,0.27648836,0.7435815
0.001660312,0.028840786,0.02884066,1.427193,0.0,1.4272087,0.7435363,0.2705604,0.7435324
0.0016028145,0.028837604,0.02883748,1.4269664,0.0,1.4269824,0.7434871,0.26480368,0.7434832
0.0015015554,0.02883441,0.028834281,1.4267387,0.0,1.4267551,0.7434378,0.26029778,0.7434338
0.0013676682,0.028831182,0.028831054,1.4265101,0.0,1.4265267,0.7433881,0.25732058,0.7433841
0.0012209524,0.028827954,0.028827822,1.4262804,0.0,1.4262973,0.7433384,0.2554509,0.7433343
0.0010789824,0.028824694,0.02882456,1.4260497,0.0,1.4260666,0.7432883,0.25536686,0.7432843
0.0009565242,0.028821422,0.02882129,1.425818,0.0,1.4258349,0.7432381,0.25600693,0.7432341
0.00087070756,0.028818129,0.028817995,1.425585,0.0,1.425602,0.7431876,0.25746304,0.74318355
0.0008221859,0.028814806,0.02881468,1.425351,0.0,1.4253678,0.7431368,0.25801936,0.7431328
0.0008086427,0.028811472,0.028811343,1.4251158,0.0,1.4251324,0.7430858,0.25812113,0.743082
0.0008109281,0.02880811,0.028807987,1.4248794,0.0,1.4248958,0.7430344,0.25605085,0.7430307
0.0008148013,0.028804723,0.028804606,1.4246417,0.0,1.4246577,0.74298286,0.2516579,0.7429793
0.00080636865,0.028801322,0.02880121,1.4244028,0.0,1.4244183,0.74293107,0.24506207,0.74292773
0.00077742257,0.028797893,0.028797783,1.4241625,0.0,1.4241775,0.74287903,0.23712869,0.74287575
0.0007297899,0.028794443,0.028794335,1.4239208,0.0,1.4239353,0.7428267,0.22770713,0.74282354
0.00068004703,0.028790966,0.028790865,1.4236774,0.0,1.4236915,0.74277395,0.21812782,0.7427711
0.0006440444,0.028787464,0.028787369,1.4234328,0.0,1.4234463,0.7427211,0.21099098,0.74271834
0.00062819343,0.028783942,0.02878385,1.4231867,0.0,1.4231995,0.742668,0.2076786,0.7426653
0.00063946407,0.028780391,0.028780302,1.4229388,0.0,1.4229512,0.7426144,0.20833625,0.742612
0.0006708859,0.028776817,0.028776731,1.4226894,0.0,1.4227012,0.7425606,0.2116079,0.74255836
0.0007109756,0.02877321,0.028773133,1.4224384,0.0,1.4224496,0.74250656,0.21503492,0.7425044
0.0007391975,0.028769577,0.0287695,1.4221855,0.0,1.4221963,0.7424521,0.21611367,0.7424501
0.0007423141,0.028765915,0.028765844,1.4219311,0.0,1.4219412,0.74239737,0.21489424,0.7423955
0.00071901036,0.028762223,0.028762158,1.4216747,0.0,1.4216844,0.74234223,0.21180159,0.7423406
0.00067606795,0.028758517,0.02875845,1.4214166,0.0,1.4214258,0.742287,0.2061057,0.7422854
0.0006167662,0.028754763,0.028754704,1.4211568,0.0,1.4211653,0.7422312,0.2004739,0.7422297
0.000555576,0.02875099,0.02875093,1.420895,0.0,1.4209031,0.74217516,0.19683534,0.74217373
0.00050433463,0.028747182,0.028747123,1.4206314,0.0,1.4206389,0.7421188,0.19593062,0.74211746
0.0004675417,0.028743345,0.028743286,1.4203658,0.0,1.4203727,0.74206203,0.19843191,0.7420608
0.00044454628,0.028739471,0.028739424,1.4200983,0.0,1.4201045,0.7420048,0.20314752,0.7420038
0.0004335422,0.028735558,0.028735513,1.419829,0.0,1.4198344,0.7419472,0.208867,0.74194634
0.00042928362,0.028731627,0.028731585,1.4195577,0.0,1.4195622,0.74188936,0.21270762,0.7418886
0.0004275065,0.028727649,0.028727613,1.4192843,0.0,1.4192879,0.7418309,0.21156326,0.7418304
0.0004275229,0.028723639,0.028723605,1.4190089,0.0,1.4190115,0.74177223,0.20779936,0.74177176
0.00042546535,0.028719598,0.02871957,1.4187313,0.0,1.4187329,0.74171305,0.20322113,0.7417128
0.00041841372,0.02871552,0.028715493,1.4184515,0.0,1.4184521,0.74165344,0.19879751,0.7416533
0.00040816085,0.028711399,0.028711379,1.4181695,0.0,1.418169,0.7415935,0.19396077,0.74159354
0.00040418576,0.028707242,0.028707227,1.4178852,0.0,1.4178838,0.74153304,0.19022436,0.7415332
0.00040805028,0.028703045,0.02870304,1.4175986,0.0,1.4175961,0.7414721,0.1887176,0.74147254
0.00042158825,0.028698811,0.028698811,1.4173096,0.0,1.4173062,0.74141085,0.18782024,0.7414115
0.0004333505,0.028694542,0.028694548,1.4170182,0.0,1.4170138,0.7413491,0.1875647,0.7413499
0.00044491614,0.028690228,0.02869024,1.4167243,0.0,1.416719,0.741287,0.18675406,0.7412879
0.0004510916,0.028685875,0.02868589,1.416428,0.0,1.4164218,0.74122435,0.18507072,0.74122536
0.00044919597,0.028681483,0.0286815,1.416129,0.0,1.416122,0.7411612,0.18271922,0.74116236
0.00043831268,0.028677046,0.028677067,1.4158275,0.0,1.4158196,0.74109775,0.17997111,0.7410989
0.00042136328,0.028672574,0.028672589,1.4155234,0.0,1.4155148,0.7410338,0.17639479,0.74103504
0.00039892434,0.028668052,0.028668072,1.4152167,0.0,1.4152073,0.7409693,0.17227907,0.7409706
0.0003734947,0.028663484,0.028663505,1.4149072,0.0,1.4148971,0.7409043,0.16859435,0.74090564
0.00034909797,0.02865887,0.028658897,1.4145952,0.0,1.4145843,0.7408388,0.16763437,0.74084026
0.0003307639,0.02865422,0.028654248,1.4142804,0.0,1.4142687,0.7407728,0.1690421,0.74077433
0.0003217264,0.02864951,0.028649546,1.413963,0.0,1.4139503,0.74070615,0.17105794,0.74070793
0.0003207532,0.02864476,0.0286448,1.4136426,0.0,1.4136292,0.74063903,0.1717868,0.74064094
0.00032366085,0.02863995,0.02864,1.4133195,0.0,1.413305,0.7405713,0.17110913,0.7405734
0.000325643,0.0286351,0.028635152,1.4129934,0.0,1.4129782,0.7405032,0.16915804,0.7405054
0.00032703852,0.028630203,0.02863026,1.4126644,0.0,1.4126483,0.74043447,0.16719958,0.74043685
0.00032613517,0.02862525,0.028625313,1.4123325,0.0,1.4123155,0.74036515,0.16622876,0.7403677
0.00032392185,0.028620247,0.028620314,1.4119976,0.0,1.4119797,0.7402953,0.1656282,0.740298
0.000320568,0.028615186,0.02861526,1.4116594,0.0,1.4116408,0.7402248,0.16428258,0.7402276
