params_real,params_hybrid,params_phys
3.0,2.879445,1.8173501
2.5,1.0049798,2.3184328
1.0,0.9956004,1.9112455
-2.0,-1.853813,0.83241725
1.0,0.9893447,-0.15611473
-2.0,-1.4116409,1.1894623
1.0,1.0,1.0
1.0,1.0,1.0
